config_id,user_id,collection_location,created_date,days_since_signup,provider,model,connection_name,is_primary_config,input_price_per_1m_usd,output_price_per_1m_usd,monthly_budget_usd,key_auto_detected_flag,custom_base_url_flag,validation_attempts,validation_success_flag,connection_latency_ms,config_status,key_rotations,last_rotation_date,first_session_date,days_to_first_session,total_sessions,total_interactions,total_input_tokens,total_output_tokens,total_llm_cost_usd,avg_efficiency_ratio,avg_waste_index,avg_cri,max_cri,adversarial_tests_run,last_used_date,config_age_days
cfg_00261,usr_00313,Outside Campus,2026-05-11,4,Anthropic,claude-sonnet-5,Anthropic Primary-4,1,3.0,15.0,100,0,0,1,1,132,dormant,0,,2026-05-12,1,12,207,446917,184033,4.1011,0.8198,0.3923,0.1771,0.27215678576856284,1,2026-06-26,132
cfg_00262,usr_00314,Outside Campus,2026-05-09,0,OpenAI,gpt-5,OpenAI Primary-8,1,1.25,10.0,50,1,0,1,1,150,dormant,0,,2026-05-09,0,16,406,887753,423671,5.3464,0.7629,0.426,0.1786,0.24245992901132768,2,2026-07-13,134
cfg_00263,usr_00315,Outside Campus,2026-05-09,0,OpenAI,gpt-5,OpenAI Primary-7,1,1.25,10.0,500,1,0,1,1,89,dormant,0,,2026-05-09,0,29,418,1100520,549123,6.8669,0.7934,0.3866,0.2039,0.8931384716184536,4,2026-08-17,134
cfg_00264,usr_00315,Outside Campus,2026-05-12,3,Groq,llama-4-maverick,Groq Backup-6,0,0.5,0.9,250,0,0,1,1,173,dormant,0,,2026-05-09,,6,87,156737,112090,0.1792,0.6876,0.4928,0.2015,0.2609836732047437,0,2026-08-02,131
cfg_00265,usr_00316,Outside Campus,2026-05-14,3,Google AI (Gemini),gemini-3-pro,Google Primary-2,1,1.0,6.0,250,1,0,1,1,97,dormant,0,,2026-05-14,0,1,19,84100,20099,0.2047,0.7699,0.4012,0.1426,0.14261868337492106,0,2026-05-16,129
cfg_00266,usr_00316,Outside Campus,2026-06-16,36,Anthropic,claude-opus-5,Anthropic Backup-4,0,3.0,15.0,1000,1,0,1,1,120,dormant,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,96
cfg_00267,usr_00317,Outside Campus,2026-05-14,3,Google AI (Gemini),gemini-3-flash,Google Primary-7,1,1.0,6.0,25,1,0,1,1,74,dormant,0,,2026-05-16,2,15,326,1634354,377138,3.897,0.732,0.4553,0.1949,0.2541645423744179,5,2026-06-14,129
cfg_00268,usr_00319,Outside Campus,2026-05-09,1,Mistral AI,mistral-large-3,Mistral Primary-8,1,2.0,6.0,250,1,0,1,1,159,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,134
cfg_00269,usr_00320,Outside Campus,2026-05-08,0,OpenAI,gpt-5,OpenAI Primary-7,1,1.25,10.0,1000,0,0,1,1,228,dormant,0,,2026-05-08,0,8,207,548432,280864,3.4943,0.7964,0.4124,0.1818,0.27445248690467605,0,2026-05-31,135
cfg_00270,usr_00322,DSU Campus,2026-05-09,0,Google AI (Gemini),gemini-3-flash,Google Primary-1,1,1.0,6.0,250,1,0,1,1,147,dormant,0,,2026-05-10,1,13,242,884825,216410,2.1833,0.7248,0.49,0.1977,0.31650462267202084,2,2026-06-22,134
cfg_00271,usr_00322,DSU Campus,2026-05-27,18,Groq,llama-4-maverick,Groq Backup-8,0,0.5,0.9,50,1,0,1,1,103,dormant,0,,2026-05-10,,3,92,237020,127383,0.2331,0.8345,0.3639,0.1545,0.1766349389531542,1,2026-05-19,116
cfg_00272,usr_00323,Outside Campus,2026-05-16,7,Groq,qwen3-32b,Groq Primary-1,1,0.5,0.9,1000,1,0,1,1,108,dormant,0,,2026-05-19,3,20,308,654022,361289,0.6523,0.8113,0.3969,0.2041,0.5425796061756621,0,2026-07-11,127
cfg_00273,usr_00324,Outside Campus,2026-05-18,1,Anthropic,claude-sonnet-5,Anthropic Primary-5,1,3.0,15.0,50,1,0,1,1,319,active,0,,2026-05-22,4,32,680,1656714,771690,16.5452,0.7664,0.4241,0.1888,0.5348225402862052,0,2026-09-15,125
cfg_00274,usr_00324,Outside Campus,2026-06-16,30,OpenRouter,qwen3-235b,OpenRouter Backup-2,0,0.6,2.4,1000,1,0,1,1,102,active,0,,2026-05-22,,6,91,283911,123527,0.4668,0.8241,0.4021,0.1911,0.30805005198755475,1,2026-09-03,96
cfg_00275,usr_00328,Outside Campus,2026-05-10,0,OpenAI,gpt-4o,OpenAI Primary-6,1,1.25,10.0,500,1,0,1,1,130,active,0,,2026-05-10,0,31,713,1767098,828321,10.4921,0.8004,0.4246,0.17,0.2695633949975064,7,2026-08-24,133
cfg_00276,usr_00329,DSU Campus,2026-05-18,7,Together AI,llama-4-scout,Together Primary-9,1,0.8,2.0,1000,0,0,3,1,132,dormant,0,,2026-05-18,0,15,305,829363,365818,1.3949,0.7608,0.4721,0.2077,0.2874841195482909,5,2026-06-08,125
cfg_00277,usr_00332,Outside Campus,2026-05-13,0,Groq,llama-4-maverick,Groq Primary-3,1,0.5,0.9,100,0,0,1,1,89,dormant,0,,2026-05-14,1,6,82,282437,118248,0.2477,0.6907,0.4867,0.1879,0.24657687028994907,0,2026-05-31,130
cfg_00278,usr_00333,DSU Campus,2026-05-15,4,xAI (Grok),grok-4,xAI Primary-2,1,2.5,12.0,500,1,0,1,1,315,active,0,,2026-05-15,0,34,786,1761607,769449,13.6377,0.6916,0.5009,0.213,0.38594795840768886,1,2026-09-20,128
cfg_00279,usr_00335,Outside Campus,2026-05-14,0,OpenAI,gpt-4o,OpenAI Primary-5,1,1.25,10.0,1000,1,0,1,1,142,dormant,0,,2026-05-16,2,8,94,246596,77095,1.0792,0.8604,0.3218,0.2142,0.8543568855617072,2,2026-05-24,129
cfg_00280,usr_00336,DSU Campus,2026-05-21,4,OpenAI,gpt-4o,OpenAI Primary-4,1,1.25,10.0,50,1,1,1,1,129,dormant,0,,2026-05-21,0,9,251,980805,340931,4.6352,0.8725,0.3547,0.1659,0.2637160053788444,1,2026-06-11,122
cfg_00281,usr_00337,DSU Campus,2026-05-17,5,Anthropic,claude-opus-5,Anthropic Primary-3,1,3.0,15.0,250,1,0,1,1,107,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,126
cfg_00282,usr_00338,DSU Campus,2026-05-12,0,Anthropic,claude-opus-5,Anthropic Primary-2,1,3.0,15.0,100,1,0,2,1,216,active,0,,2026-05-12,0,45,779,2399015,865639,20.1817,0.8105,0.3989,0.173,0.30455319657988184,3,2026-09-06,131
cfg_00283,usr_00339,Outside Campus,2026-05-12,0,Mistral AI,mistral-large-3,Mistral Primary-8,1,2.0,6.0,100,0,0,1,1,197,dormant,0,,2026-05-12,0,28,669,1837189,661136,7.6412,0.7752,0.4369,0.2157,0.8963596194490686,2,2026-07-16,131
cfg_00284,usr_00342,Outside Campus,2026-05-15,1,Anthropic,claude-opus-5,Anthropic Primary-3,1,3.0,15.0,50,1,0,1,1,85,active,0,,2026-05-15,0,36,738,1944434,903492,19.3856,0.7771,0.4458,0.1976,0.33321294292114617,1,2026-09-20,128
cfg_00285,usr_00343,DSU Campus,2026-05-20,0,Mistral AI,mistral-large-3,Mistral Primary-9,1,2.0,6.0,100,0,0,1,1,60,dormant,0,,2026-05-21,1,18,345,858781,414093,4.2021,0.7315,0.4597,0.2276,0.8184389288743125,2,2026-07-23,123
cfg_00286,usr_00344,Outside Campus,2026-05-12,0,Groq,llama-4-maverick,Groq Primary-2,1,0.5,0.9,250,1,0,1,1,69,dormant,0,,2026-05-13,1,7,71,174728,106837,0.1837,0.8844,0.3039,0.2561,0.8877248687724468,1,2026-06-13,131
cfg_00287,usr_00345,Outside Campus,2026-05-13,1,OpenAI,gpt-5,OpenAI Primary-2,1,1.25,10.0,250,1,0,1,1,117,active,0,,2026-05-13,0,41,927,2299499,1142002,14.2946,0.759,0.4325,0.2023,0.7944210099530261,5,2026-09-20,130
cfg_00288,usr_00350,DSU Campus,2026-05-12,0,DeepSeek,deepseek-r2,DeepSeek Primary-1,1,0.3,1.2,250,1,0,1,1,128,dormant,0,,2026-05-12,0,14,346,794676,529868,0.8741,0.6988,0.491,0.1912,0.2746539234214781,1,2026-05-31,131
cfg_00289,usr_00354,DSU Campus,2026-05-14,1,OpenAI,gpt-4o,OpenAI Primary-1,1,1.25,10.0,500,1,0,1,1,200,dormant,1,,2026-05-14,0,5,114,231310,130200,1.5912,0.8416,0.3179,0.1593,0.20060994842764596,1,2026-06-07,129
cfg_00290,usr_00355,Outside Campus,2026-05-12,0,OpenAI,gpt-5,OpenAI Primary-9,1,1.25,10.0,500,1,0,2,1,270,active,0,,2026-05-12,0,40,905,2111814,1012703,12.7668,0.7493,0.4563,0.2281,0.8690280102019564,5,2026-09-19,131
cfg_00291,usr_00356,Outside Campus,2026-05-15,0,Anthropic,claude-sonnet-5,Anthropic Primary-3,1,3.0,15.0,50,1,0,1,1,138,active,2,,,,0,0,0,0,0.0,0,0,0,0.0,0,,128
cfg_00292,usr_00356,Outside Campus,2026-05-23,8,OpenAI,gpt-5,OpenAI Backup-1,0,1.25,10.0,25,0,0,1,1,208,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,120
cfg_00293,usr_00360,Outside Campus,2026-05-17,2,Google AI (Gemini),gemini-3-flash,Google Primary-7,1,1.0,6.0,250,0,0,2,1,98,dormant,0,,2026-05-17,0,22,496,1463123,684714,5.5713,0.7343,0.4673,0.225,0.6153348033386614,0,2026-07-12,126
cfg_00294,usr_00361,Outside Campus,2026-05-13,0,OpenAI,gpt-5-mini,OpenAI Primary-7,1,1.25,10.0,250,1,0,1,1,139,dormant,0,,2026-05-14,1,7,173,745489,212548,3.0573,0.7567,0.4281,0.1873,0.2940407798185717,0,2026-06-04,130
cfg_00295,usr_00361,Outside Campus,2026-05-23,10,OpenAI,gpt-5,OpenAI Backup-8,0,1.25,10.0,100,0,0,1,1,105,dormant,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,120
cfg_00296,usr_00363,Outside Campus,2026-05-14,0,OpenAI,gpt-4o,OpenAI Primary-3,1,1.25,10.0,25,1,1,1,1,148,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,129
cfg_00297,usr_00364,Outside Campus,2026-05-15,1,OpenAI,gpt-4o,OpenAI Primary-3,1,1.25,10.0,100,1,0,1,1,156,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,128
cfg_00298,usr_00364,Outside Campus,2026-05-28,14,Anthropic,claude-sonnet-5,Anthropic Backup-8,0,3.0,15.0,50,1,0,1,1,214,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,115
cfg_00299,usr_00365,DSU Campus,2026-05-16,2,Google AI (Gemini),gemini-3-pro,Google Primary-8,1,1.0,6.0,250,1,0,1,1,249,active,0,,2026-05-22,6,43,808,2124435,922858,7.6616,0.7399,0.4672,0.2108,0.9240264353695535,8,2026-08-28,127
cfg_00300,usr_00367,Outside Campus,2026-05-15,1,Google AI (Gemini),gemini-3-pro,Google Primary-6,1,1.0,6.0,25,1,0,1,1,112,active,2,,2026-05-15,0,51,1009,2563110,1009005,8.6171,0.7472,0.4488,0.2018,0.8144844978491236,4,2026-09-18,128
cfg_00301,usr_00368,Outside Campus,2026-05-17,2,OpenAI,gpt-5-mini,OpenAI Primary-7,1,1.25,10.0,250,1,0,1,1,102,dormant,0,,2026-05-17,0,9,202,534368,322036,3.8884,0.8633,0.3178,0.1508,0.2536708744782018,0,2026-07-06,126
cfg_00302,usr_00371,Outside Campus,2026-05-17,2,Google AI (Gemini),gemini-3-flash,Google Primary-9,1,1.0,6.0,250,0,0,1,1,93,dormant,0,,2026-05-17,0,17,369,993499,421002,3.5196,0.8134,0.4104,0.191,0.5222658364974557,0,2026-08-03,126
cfg_00303,usr_00372,DSU Campus,2026-05-16,0,OpenAI,gpt-5-mini,OpenAI Primary-1,1,1.25,10.0,100,0,0,1,1,348,dormant,0,,2026-05-16,0,3,67,195534,59294,0.8373,0.6629,0.6061,0.2393,0.24213394044076164,0,2026-05-30,127
cfg_00304,usr_00373,Outside Campus,2026-05-15,0,Anthropic,claude-opus-5,Anthropic Primary-2,1,3.0,15.0,500,1,0,1,1,195,active,0,,2026-05-15,0,35,710,2015117,1051873,21.8233,0.8057,0.39,0.2075,0.8681375156130897,2,2026-09-20,128
cfg_00305,usr_00374,Outside Campus,2026-05-16,0,DeepSeek,deepseek-r2,DeepSeek Primary-2,1,0.3,1.2,1000,1,0,1,1,126,active,0,,2026-05-17,1,42,960,3068474,1078033,2.2141,0.767,0.4422,0.1956,0.48411344901254144,3,2026-09-20,127
cfg_00306,usr_00376,Outside Campus,2026-05-19,1,Mistral AI,mistral-large-3,Mistral Primary-1,1,2.0,6.0,50,1,0,1,1,140,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,124
cfg_00307,usr_00377,DSU Campus,2026-05-17,0,OpenAI,gpt-5,OpenAI Primary-5,1,1.25,10.0,100,0,1,1,1,141,dormant,0,,2026-05-18,1,23,475,1642091,808952,10.1424,0.7148,0.5111,0.2163,0.3354877450264071,2,2026-07-10,126
cfg_00308,usr_00377,DSU Campus,2026-06-03,17,Anthropic,claude-sonnet-5,Anthropic Backup-4,0,3.0,15.0,1000,0,0,3,1,73,dormant,0,,2026-05-18,,4,110,596477,72849,2.8822,0.8137,0.3999,0.1956,0.23237119139191859,0,2026-06-29,109
cfg_00309,usr_00378,Outside Campus,2026-05-19,1,OpenAI,gpt-5,OpenAI Primary-5,1,1.25,10.0,500,1,0,1,1,99,dormant,0,,2026-05-19,0,6,179,959888,241585,3.6157,0.8298,0.3325,0.1485,0.18998758139860597,0,2026-06-17,124
cfg_00310,usr_00378,Outside Campus,2026-06-06,19,Anthropic,claude-sonnet-5,Anthropic Backup-2,0,3.0,15.0,250,1,1,2,1,128,dormant,0,,2026-05-19,,2,27,44366,27630,0.5476,0.8568,0.3795,0.1529,0.19244831724579534,0,2026-06-13,106
cfg_00311,usr_00382,DSU Campus,2026-05-18,1,Google AI (Gemini),gemini-3-flash,Google Primary-5,1,1.0,6.0,500,1,0,1,1,133,active,0,,2026-05-18,0,16,465,1043708,644570,4.9112,0.7686,0.4083,0.2071,0.6424490943605099,3,2026-09-16,125
cfg_00312,usr_00384,Outside Campus,2026-05-18,0,OpenAI,gpt-5-mini,OpenAI Primary-6,1,1.25,10.0,50,1,0,1,1,199,dormant,0,,2026-05-20,2,15,382,1053309,465930,5.9758,0.738,0.4764,0.1903,0.2566600340251426,2,2026-06-25,125
cfg_00313,usr_00385,DSU Campus,2026-05-22,1,Google AI (Gemini),gemini-3-flash,Google Primary-2,1,1.0,6.0,50,1,0,1,1,101,active,0,,2026-05-22,0,33,742,2742512,1007406,8.7871,0.754,0.4226,0.2072,0.7116692678451131,0,2026-09-17,121
cfg_00314,usr_00385,DSU Campus,2026-06-07,17,OpenAI,gpt-5,OpenAI Backup-8,0,1.25,10.0,100,1,0,1,1,115,active,0,,2026-05-22,,7,209,306176,238096,2.7638,0.8087,0.3773,0.1582,0.24148471602294982,0,2026-09-14,105
cfg_00315,usr_00386,Outside Campus,2026-05-26,0,Google AI (Gemini),gemini-3-flash,Google Primary-1,1,1.0,6.0,1000,1,0,1,1,150,active,0,,2026-05-26,0,48,1091,3814215,1466307,12.6124,0.7274,0.4629,0.2007,0.572731373133062,13,2026-09-18,117
cfg_00316,usr_00387,Outside Campus,2026-05-23,2,Groq,qwen3-32b,Groq Primary-7,1,0.5,0.9,1000,1,0,1,1,132,active,0,,2026-05-23,0,39,1052,2576271,1777342,2.8876,0.7344,0.4452,0.2314,0.8496069194199484,3,2026-09-08,120
cfg_00317,usr_00388,Outside Campus,2026-05-19,1,OpenAI,gpt-5-mini,OpenAI Primary-2,1,1.25,10.0,500,1,0,1,1,157,active,0,,2026-05-20,1,35,971,2450938,1201804,15.0817,0.8021,0.3972,0.1904,0.8760052863190908,4,2026-09-20,124
cfg_00318,usr_00388,Outside Campus,2026-06-16,29,Cohere,command-r-plus-2,Cohere Backup-7,0,2.5,10.0,25,1,0,1,1,72,active,0,,2026-05-20,,8,152,336440,245763,3.2988,0.7147,0.5063,0.1856,0.2691967436587809,1,2026-08-23,96
cfg_00319,usr_00389,Outside Campus,2026-05-19,0,DeepSeek,deepseek-v4,DeepSeek Primary-7,1,0.3,1.2,100,1,0,1,1,96,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,124
cfg_00320,usr_00391,Outside Campus,2026-05-19,0,Groq,llama-4-maverick,Groq Primary-8,1,0.5,0.9,100,1,0,1,1,120,dormant,0,,2026-05-20,1,21,510,1923257,592284,1.4947,0.6769,0.5417,0.2488,0.9510925461409714,0,2026-07-19,124
cfg_00321,usr_00391,Outside Campus,2026-06-22,34,Mistral AI,mistral-large-3,Mistral Backup-2,0,2.0,6.0,50,1,0,1,1,267,dormant,0,,2026-05-20,,3,54,118687,110604,0.901,0.6859,0.4769,0.1989,0.2752042367524435,0,2026-07-21,90
cfg_00322,usr_00392,DSU Campus,2026-05-19,0,OpenAI,gpt-4o,OpenAI Primary-7,1,1.25,10.0,25,1,0,1,1,174,dormant,0,,2026-05-19,0,3,69,116028,52995,0.6749,0.7652,0.4205,0.3623,0.6086806805992666,0,2026-05-20,124
cfg_00323,usr_00392,DSU Campus,2026-06-19,31,Anthropic,claude-opus-5,Anthropic Backup-8,0,3.0,15.0,100,1,0,1,1,151,dormant,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,93
cfg_00324,usr_00393,Outside Campus,2026-05-21,2,OpenAI,gpt-4o,OpenAI Primary-9,1,1.25,10.0,1000,1,0,1,1,363,dormant,0,,2026-05-25,4,17,430,1316532,459293,6.2385,0.8094,0.3791,0.1733,0.26903843511200354,1,2026-06-25,122
cfg_00325,usr_00393,Outside Campus,2026-06-23,35,Groq,qwen3-32b,Groq Backup-6,0,0.5,0.9,1000,1,0,1,1,175,dormant,0,,2026-05-25,,1,59,136606,69883,0.1312,0.7087,0.4358,0.1749,0.17491099162345075,0,2026-06-02,89
cfg_00326,usr_00397,Outside Campus,2026-05-20,1,Google AI (Gemini),gemini-3-flash,Google Primary-4,1,1.0,6.0,25,1,0,1,1,158,dormant,0,,2026-05-20,0,22,411,1845663,498839,4.8385,0.7862,0.3862,0.1772,0.36546709318646614,5,2026-07-16,123
cfg_00327,usr_00398,DSU Campus,2026-05-25,4,Together AI,deepseek-r2-distill,Together Primary-9,1,0.8,2.0,500,1,0,1,1,246,active,0,,2026-05-28,3,26,716,1545046,948768,3.1335,0.8544,0.3354,0.1643,0.5416418129890569,0,2026-09-13,118
cfg_00328,usr_00399,Outside Campus,2026-05-21,1,Anthropic,claude-sonnet-5,Anthropic Primary-8,1,3.0,15.0,1000,0,0,3,1,160,dormant,0,,2026-05-21,0,47,943,3097780,1290886,28.6565,0.7853,0.4163,0.1785,0.354249303254752,1,2026-08-08,122
cfg_00329,usr_00400,DSU Campus,2026-05-23,1,OpenAI,gpt-5,OpenAI Primary-7,1,1.25,10.0,500,1,0,1,1,139,dormant,2,,2026-05-24,1,7,158,334793,242554,2.844,0.6872,0.4658,0.2034,0.2858953361002359,0,2026-06-23,120
cfg_00330,usr_00400,DSU Campus,2026-06-30,39,OpenAI,gpt-4o,OpenAI Backup-5,0,1.25,10.0,1000,1,0,1,1,123,dormant,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,82
cfg_00331,usr_00401,DSU Campus,2026-05-23,1,OpenAI,gpt-5-mini,OpenAI Primary-7,1,1.25,10.0,25,1,0,1,1,320,dormant,1,,2026-05-23,0,17,528,1194744,592858,7.422,0.769,0.3962,0.1746,0.2661633790590222,0,2026-07-13,120
cfg_00332,usr_00401,DSU Campus,2026-06-20,29,OpenAI,gpt-5,OpenAI Backup-1,0,1.25,10.0,100,1,0,1,1,293,dormant,0,,2026-05-23,,6,83,186777,62264,0.8561,0.8562,0.3394,0.1433,0.23366873421729917,0,2026-06-22,92
cfg_00333,usr_00403,DSU Campus,2026-05-22,0,Google AI (Gemini),gemini-3-pro,Google Primary-5,1,1.0,6.0,1000,1,0,1,1,60,dormant,0,,2026-05-24,2,20,437,931844,440574,3.5752,0.786,0.4045,0.1706,0.29011457261791507,1,2026-08-09,121
cfg_00334,usr_00404,Outside Campus,2026-05-24,1,Anthropic,claude-sonnet-5,Anthropic Primary-3,1,3.0,15.0,1000,1,0,1,1,112,active,0,,2026-05-24,0,36,814,2034993,931142,20.0721,0.7683,0.4317,0.2041,0.7708848206612342,1,2026-09-07,119
cfg_00335,usr_00407,Outside Campus,2026-05-21,0,Anthropic,claude-sonnet-5,Anthropic Primary-3,1,3.0,15.0,500,1,0,1,1,237,active,0,,2026-05-21,0,35,696,2247211,773181,18.3393,0.7631,0.4371,0.1951,0.5669947544125593,1,2026-09-18,122
cfg_00336,usr_00408,DSU Campus,2026-05-28,7,Anthropic,claude-sonnet-5,Anthropic Primary-8,1,3.0,15.0,100,1,0,1,1,64,active,1,,,,0,0,0,0,0.0,0,0,0,0.0,0,,115
cfg_00337,usr_00411,Outside Campus,2026-05-22,0,OpenAI,gpt-4o,OpenAI Primary-7,1,1.25,10.0,1000,1,0,1,1,240,active,0,,2026-05-22,0,18,478,1260159,973450,11.3098,0.8005,0.4281,0.1859,0.26781661951494806,0,2026-08-26,121
cfg_00338,usr_00413,Outside Campus,2026-05-27,2,OpenAI,gpt-5-mini,OpenAI Primary-5,1,1.25,10.0,50,0,0,1,1,146,active,0,,2026-05-27,0,43,906,2213608,1024493,13.0121,0.8244,0.381,0.1755,0.47810644204548997,0,2026-09-16,116
cfg_00339,usr_00413,Outside Campus,2026-06-28,34,Groq,llama-4-maverick,Groq Backup-4,0,0.5,0.9,1000,1,0,1,1,81,active,0,,2026-05-27,,6,113,212460,144268,0.2361,0.7379,0.4893,0.207,0.24372047673431899,0,2026-09-18,84
cfg_00340,usr_00414,Outside Campus,2026-05-28,4,OpenAI,gpt-4o,OpenAI Primary-1,1,1.25,10.0,1000,0,0,1,1,134,dormant,0,,2026-06-01,4,6,93,164719,101177,1.2178,0.8016,0.4342,0.1771,0.24932599988043458,0,2026-06-09,115
cfg_00341,usr_00417,Outside Campus,2026-05-22,0,OpenAI,gpt-5-mini,OpenAI Primary-4,1,1.25,10.0,25,1,0,1,1,78,dormant,0,,2026-05-22,0,7,108,218587,266103,2.9343,0.7099,0.469,0.1812,0.23859971775309274,2,2026-05-30,121
cfg_00342,usr_00420,Outside Campus,2026-05-23,0,Anthropic,claude-opus-5,Anthropic Primary-7,1,3.0,15.0,50,1,1,2,1,129,dormant,0,,2026-05-24,1,14,337,1454439,363552,9.8165,0.6524,0.5572,0.2135,0.35478985899172144,4,2026-07-08,120
cfg_00343,usr_00421,Outside Campus,2026-05-25,1,Anthropic,claude-sonnet-5,Anthropic Primary-9,1,3.0,15.0,1000,1,0,1,1,105,dormant,1,,2026-05-26,1,31,754,2152323,720228,17.2601,0.7487,0.4646,0.2235,0.8002274995201292,1,2026-08-07,118
cfg_00344,usr_00422,DSU Campus,2026-05-23,0,Anthropic,claude-sonnet-5,Anthropic Primary-8,1,3.0,15.0,25,1,0,1,1,215,dormant,0,,2026-05-23,0,10,232,538760,292946,6.0104,0.7623,0.4294,0.192,0.2955495746929173,2,2026-06-26,120
cfg_00345,usr_00423,DSU Campus,2026-05-27,4,Google AI (Gemini),gemini-3-flash,Google Primary-7,1,1.0,6.0,100,1,0,1,1,249,active,1,,2026-05-27,0,35,785,2648414,1182860,9.7453,0.784,0.3908,0.1799,0.5663539511798503,3,2026-09-18,116
cfg_00346,usr_00426,Outside Campus,2026-05-24,1,Google AI (Gemini),gemini-3-flash,Google Primary-7,1,1.0,6.0,25,1,0,1,1,136,active,0,,2026-05-24,0,48,1036,2667826,1032432,8.8626,0.7587,0.4708,0.2101,0.8138092539446402,4,2026-09-20,119
cfg_00347,usr_00428,Outside Campus,2026-06-02,1,OpenRouter,qwen3-235b,OpenRouter Primary-7,1,0.6,2.4,1000,0,0,1,1,102,dormant,0,,2026-06-03,1,2,66,142302,39465,0.1801,0.7318,0.4679,0.1812,0.2046387161274589,0,2026-06-03,110
cfg_00348,usr_00428,Outside Campus,2026-06-18,17,Google AI (Gemini),gemini-3-pro,Google Backup-3,0,1.0,6.0,100,1,0,1,1,233,dormant,1,,,,0,0,0,0,0.0,0,0,0,0.0,0,,94
cfg_00349,usr_00429,DSU Campus,2026-05-27,3,OpenAI,gpt-5-mini,OpenAI Primary-8,1,1.25,10.0,250,1,0,1,1,67,dormant,0,,2026-05-30,3,3,50,119016,68518,0.8339,0.6993,0.4876,0.2066,0.222424684641765,0,2026-05-30,116
cfg_00350,usr_00432,Outside Campus,2026-05-25,0,xAI (Grok),grok-4,xAI Primary-7,1,2.5,12.0,500,1,0,1,1,113,dormant,0,,2026-05-26,1,10,202,346967,191597,3.1665,0.7441,0.525,0.2059,0.305676828564423,2,2026-07-01,118
cfg_00351,usr_00433,Outside Campus,2026-05-28,2,OpenAI,gpt-4o,OpenAI Primary-6,1,1.25,10.0,50,1,0,1,1,167,dormant,0,,2026-05-29,1,13,210,392359,199687,2.4872,0.8295,0.3713,0.1699,0.23883311309904523,0,2026-07-24,115
cfg_00352,usr_00435,Outside Campus,2026-06-01,4,OpenAI,gpt-5,OpenAI Primary-9,1,1.25,10.0,50,1,0,1,1,200,active,1,,,,0,0,0,0,0.0,0,0,0,0.0,0,,111
cfg_00353,usr_00435,Outside Campus,2026-06-22,25,OpenAI,gpt-5-mini,OpenAI Backup-4,0,1.25,10.0,250,1,0,1,1,130,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,90
cfg_00354,usr_00438,Outside Campus,2026-05-26,0,OpenAI,gpt-5,OpenAI Primary-3,1,1.25,10.0,1000,1,0,1,1,61,dormant,0,,2026-05-26,0,6,132,432257,163500,2.1754,0.7935,0.3797,0.177,0.2489896564619057,0,2026-07-20,117
cfg_00355,usr_00438,Outside Campus,2026-06-02,7,Groq,qwen3-32b,Groq Backup-8,0,0.5,0.9,100,1,0,1,1,119,dormant,0,,2026-05-26,,2,69,237713,128806,0.2348,0.6157,0.7075,0.2682,0.2972177780928906,0,2026-05-30,110
cfg_00356,usr_00440,Outside Campus,2026-05-26,0,OpenAI,gpt-5,OpenAI Primary-5,1,1.25,10.0,25,1,0,1,1,222,dormant,0,,2026-05-27,1,15,462,1282933,334430,4.948,0.7987,0.4236,0.1837,0.2901622259675646,3,2026-08-08,117
cfg_00357,usr_00440,Outside Campus,2026-07-05,40,DeepSeek,deepseek-r2,DeepSeek Backup-3,0,0.3,1.2,25,1,0,1,1,238,dormant,0,,2026-05-27,,4,129,509597,179151,0.3678,0.696,0.5685,0.2105,0.2886723320414771,1,2026-06-18,77
cfg_00358,usr_00442,Outside Campus,2026-05-29,3,Groq,qwen3-32b,Groq Primary-1,1,0.5,0.9,1000,1,0,2,1,249,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,114
cfg_00359,usr_00442,Outside Campus,2026-06-19,24,Anthropic,claude-sonnet-5,Anthropic Backup-7,0,3.0,15.0,50,1,0,1,1,236,active,0,,,,0,0,0,0,0.0,0,0,0,0.0,0,,93
cfg_00360,usr_00443,DSU Campus,2026-05-28,0,Google AI (Gemini),gemini-3-flash,Google Primary-4,1,1.0,6.0,50,1,0,1,1,174,active,0,,2026-06-01,4,20,451,1584183,545395,4.8567,0.7239,0.482,0.1999,0.283243863494811,0,2026-09-14,115
cfg_00361,usr_00443,DSU Campus,2026-06-06,9,Google AI (Gemini),gemini-3-flash,Google Backup-8,0,1.0,6.0,250,0,0,2,1,80,active,0,,2026-06-01,,3,73,245115,57982,0.593,0.8321,0.3784,0.174,0.21390282570755825,0,2026-09-06,106
